name,type,path
HTM::JobAdapter,Module,HTM/JobAdapter.md
HTM::JobAdapter.enqueue,Method,HTM/JobAdapter.md#method-c-enqueue
HTM::Observability,Module,HTM/Observability.md
HTM::Observability.cache_stats,Method,HTM/Observability.md#method-c-cache_stats
HTM::Observability.circuit_breaker_stats,Method,HTM/Observability.md#method-c-circuit_breaker_stats
HTM::Observability.collect_all,Method,HTM/Observability.md#method-c-collect_all
HTM::Observability.connection_pool_stats,Method,HTM/Observability.md#method-c-connection_pool_stats
HTM::Observability.health_check,Method,HTM/Observability.md#method-c-health_check
HTM::Observability.healthy?,Method,HTM/Observability.md#method-c-healthy?
HTM::Observability.memory_stats,Method,HTM/Observability.md#method-c-memory_stats
HTM::Observability.query_timing_stats,Method,HTM/Observability.md#method-c-query_timing_stats
HTM::Observability.record_embedding_timing,Method,HTM/Observability.md#method-c-record_embedding_timing
HTM::Observability.record_query_timing,Method,HTM/Observability.md#method-c-record_query_timing
HTM::Observability.record_tag_timing,Method,HTM/Observability.md#method-c-record_tag_timing
HTM::Observability.reset_metrics!,Method,HTM/Observability.md#method-c-reset_metrics!
HTM::Observability.service_timing_stats,Method,HTM/Observability.md#method-c-service_timing_stats
HTM,Class,HTM.md
HTM.configure,Method,HTM.md#method-c-configure
HTM.count_tokens,Method,HTM.md#method-c-count_tokens
HTM.embed,Method,HTM.md#method-c-embed
HTM.extract_tags,Method,HTM.md#method-c-extract_tags
HTM.logger,Method,HTM.md#method-c-logger
HTM.reset_configuration!,Method,HTM.md#method-c-reset_configuration!
configuration,Attribute,HTM.md#attribute-c-configuration
HTM::ActiveRecordConfig,Class,HTM/ActiveRecordConfig.md
HTM::ActiveRecordConfig.connected?,Method,HTM/ActiveRecordConfig.md#method-c-connected?
HTM::ActiveRecordConfig.connection_stats,Method,HTM/ActiveRecordConfig.md#method-c-connection_stats
HTM::ActiveRecordConfig.disconnect!,Method,HTM/ActiveRecordConfig.md#method-c-disconnect!
HTM::ActiveRecordConfig.establish_connection!,Method,HTM/ActiveRecordConfig.md#method-c-establish_connection!
HTM::ActiveRecordConfig.load_database_config,Method,HTM/ActiveRecordConfig.md#method-c-load_database_config
HTM::ActiveRecordConfig.verify_extensions!,Method,HTM/ActiveRecordConfig.md#method-c-verify_extensions!
HTM::CircuitBreaker,Class,HTM/CircuitBreaker.md
HTM::CircuitBreaker.call,Method,HTM/CircuitBreaker.md#method-i-call
HTM::CircuitBreaker.closed?,Method,HTM/CircuitBreaker.md#method-i-closed?
HTM::CircuitBreaker.half_open?,Method,HTM/CircuitBreaker.md#method-i-half_open?
HTM::CircuitBreaker.initialize,Method,HTM/CircuitBreaker.md#method-i-initialize
HTM::CircuitBreaker.open?,Method,HTM/CircuitBreaker.md#method-i-open?
HTM::CircuitBreaker.reset!,Method,HTM/CircuitBreaker.md#method-i-reset!
